VICTIM_AGE,VICTIM_SEX,VICTIM_ETH
42,Female,Caucasian
46,Female,Caucasian
25,Male,Indigenous
79,Male,Unknown
59,Female,East Asian
26,Male,Indigenous
45,Female,South Asian
36,Female,Indigenous
33,Female,Caucasian
42,Female,Caucasian
,Female,Southeast Asian
42,Female,Black
21,Female,South Asian
19,Female,South Asian
29,Male,Caucasian
56,Female,South Asian
37,Female,Filipino
33,Female,Caucasian
56,Female,Caucasian
61,Female,Caucasian
71,Female,Caucasian
38,Female,Indigenous
31,Male,Indigenous
85,Male,Unknown
34,Female,Caucasian
19,Female,Caucasian
15,Female,Unknown
41,Female,Caucasian
47,Female,Indigenous
56,Female,Caucasian
46,Female,Indigenous
56,Female,
